,precision,recall,f1-score,support
air_cond,0.5555555555555556,0.41,0.4718066743383199,1000.0
car_horn,0.8953068592057761,0.578088578088578,0.7025495750708215,429.0
children,0.7782963827304551,0.667,0.7183629509962305,1000.0
dog_bark,0.7550091074681239,0.829,0.7902764537654909,1000.0
drilling,0.5713251267197683,0.789,0.6627467450650987,1000.0
engine,0.6435643564356436,0.715,0.6774040738986262,1000.0
gun_shot,0.7869565217391304,0.9679144385026738,0.86810551558753,374.0
jackhammer,0.7941605839416058,0.544,0.6456973293768546,1000.0
siren,0.825938566552901,0.7814854682454252,0.8030973451327433,929.0
street_music,0.6388443017656501,0.796,0.7088156723063224,1000.0
accuracy,0.6969766376546037,0.6969766376546037,0.6969766376546037,0.6969766376546037
macro avg,0.724495736211461,0.7077488484836677,0.7048862335538038,8732.0
weighted avg,0.7080234453360238,0.6969766376546037,0.6925392308646793,8732.0
